Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
645000,0.31558532,5.0175447,None,None,None,None,None,None,1.3714916,0.00023584082,None,None,None,None
650000,0.2545607,4.0313754,2.7667303,0.049393583,0.30756897,0.114667304,0.9059953,0.0,1.3704916,0.00023522644,None,None,None,None
655000,0.1761882,4.027522,None,None,None,None,None,None,1.3694917,0.00023476568,None,None,None,None
660000,0.1545851,4.185014,None,None,None,None,None,None,1.3694916,0.00023435136,12.70505162668754,4981.0,12.92928615002893,611.5541003292257
665000,0.35152087,4.4356,None,None,None,None,None,None,1.3694918,0.00023383324,None,None,10.238473447039723,349.3905475139618
670000,0.30873474,4.262856,None,None,None,None,None,None,1.3694917,0.00023321886,None,None,None,None
675000,0.25171906,4.029805,None,None,None,None,None,None,1.3694917,0.00023275802,None,None,None,None
680000,0.2231215,4.255712,5.1499095,0.046321344,0.29671198,0.111600816,0.9120002,0.0,1.3697702,0.00023229726,None,None,None,None
685000,0.19360627,4.4367614,None,None,None,None,None,None,1.3697702,0.00023168282,None,None,None,None
690000,0.20259191,4.431248,None,None,None,None,None,None,1.3697702,0.00023122203,None,None,None,None
695000,0.13991287,4.1259537,None,None,None,None,None,None,1.3697702,0.00023076126,None,None,None,None
700000,0.17306232,4.380335,None,None,None,None,None,None,1.3697702,0.00023030046,None,None,None,None
705000,0.15200342,4.649636,5.8115907,0.051082652,0.31761095,0.118005544,0.9058516,0.0,1.3690206,0.00022983967,None,None,None,None
710000,0.16608916,4.3794765,None,None,None,None,None,None,1.368271,0.00022922523,None,None,None,None
715000,0.26445255,4.6468024,None,None,None,None,None,None,1.368271,0.00022876447,None,None,None,None
720000,0.22774772,4.1611786,None,None,None,None,None,None,1.3682709,0.00022835015,14.343827410993375,4981.0,15.288519269041718,615.9488244891166
725000,0.1953372,4.3316803,None,None,None,None,None,None,1.368271,0.00022783209,None,None,9.620369592215866,248.24345576763153
730000,0.18831763,4.407363,4.042119,0.050737716,0.31875277,0.11857131,0.90419817,0.0,1.3675119,0.00022721765,None,None,None,None
735000,0.18915126,4.4948993,None,None,None,None,None,None,1.3667527,0.00022675683,None,None,None,None
740000,0.27991354,4.124237,None,None,None,None,None,None,1.3667527,0.00022629605,None,None,None,None
745000,0.25515273,3.880659,None,None,None,None,None,None,1.3667527,0.00022568167,None,None,None,None
750000,0.151394,4.654214,None,None,None,None,None,None,1.3667527,0.00022522082,None,None,None,None
755000,0.27511555,4.484638,None,None,None,None,None,None,1.3667527,0.00022476005,None,None,None,None
760000,0.13207819,3.8042328,3.301804,0.052346513,0.27617037,0.10379173,0.9173928,0.0,1.3656988,0.00022429925,None,None,None,None
765000,0.092062,4.670497,None,None,None,None,None,None,1.3656988,0.0002238384,None,None,None,None
770000,0.16117133,4.2958508,None,None,None,None,None,None,1.3656988,0.00022322404,None,None,None,None
775000,0.12588432,4.717416,None,None,None,None,None,None,1.3656988,0.00022276326,None,None,None,None
780000,0.08244493,4.2357693,None,None,None,None,None,None,1.3656988,0.00022234894,9.84051985041909,4981.0,10.485527520580217,518.5516204118728
785000,0.3246984,4.8695626,2.1599884,0.05006355,0.24705505,0.09450632,0.9282158,0.0,1.3647654,0.00022183088,None,None,6.615481167449616,162.99893069267273
790000,0.26026648,4.161273,None,None,None,None,None,None,1.3638285,0.00022121645,None,None,None,None
795000,0.14652666,4.3417516,None,None,None,None,None,None,1.3638285,0.00022075562,None,None,None,None
800000,0.20850503,5.0165033,None,None,None,None,None,None,1.3638285,0.00022029484,None,None,None,None
805000,0.23577695,4.9723625,None,None,None,None,None,None,1.3638285,0.00021968046,None,None,None,None
810000,0.23936264,3.925029,None,None,None,None,None,None,1.3638285,0.00021921961,None,None,None,None
815000,0.256213,4.462735,4.874908,0.047816258,0.28907737,0.10693655,0.9144694,0.0,1.3623294,0.00021875885,None,None,None,None
820000,0.2528401,4.3111076,None,None,None,None,None,None,1.3623294,0.00021829805,None,None,None,None
825000,0.24583134,5.187455,None,None,None,None,None,None,1.3623294,0.00021783725,None,None,None,None
830000,0.1579357,4.3991485,None,None,None,None,None,None,1.3623294,0.00021722287,None,None,None,None
835000,0.15981582,3.949742,None,None,None,None,None,None,1.3623294,0.00021676206,None,None,None,None
840000,0.1630827,4.0259504,6.969941,0.049230613,0.28058577,0.103158,0.91745275,0.0,1.3622174,0.00021634776,11.837855230075244,4981.0,12.278619031899144,567.1211027860642
845000,0.23689501,5.019213,None,None,None,None,None,None,1.3620083,0.00021582967,None,None,9.634036418865435,238.91027963161469
850000,0.2597648,5.0846176,None,None,None,None,None,None,1.3620082,0.00021521526,None,None,None,None
855000,0.26690894,4.442082,None,None,None,None,None,None,1.3620082,0.00021475443,None,None,None,None
860000,0.17257874,4.5631323,None,None,None,None,None,None,1.3620082,0.00021429363,None,None,None,None
865000,0.17700641,4.011122,4.3579235,0.051224217,0.26807672,0.10142829,0.9197665,0.0,1.3614163,0.00021367925,None,None,None,None
870000,0.12137947,4.1754313,None,None,None,None,None,None,1.3608245,0.0002132184,None,None,None,None
875000,0.27367768,4.2173057,None,None,None,None,None,None,1.3608245,0.00021275767,None,None,None,None
880000,0.1208142,3.7350128,None,None,None,None,None,None,1.3608245,0.00021229686,None,None,None,None
885000,0.29658267,4.846181,None,None,None,None,None,None,1.3608245,0.00021183604,None,None,None,None
890000,0.24076648,4.0019956,None,None,None,None,None,None,1.3608245,0.00021122166,None,None,None,None
895000,0.27413946,4.5318513,0.9718316,0.05211982,0.20823349,0.08012641,0.94012016,0.0,1.3602694,0.00021076085,None,None,None,None
900000,0.14233781,4.456501,None,None,None,None,None,None,1.3602694,0.00021034655,11.460716896438802,4981.0,11.690520202438346,494.0540116429329
905000,0.25676602,5.1404815,None,None,None,None,None,None,1.3602694,0.00020982846,None,None,10.31170154188294,320.6751638054848
910000,0.052063573,4.05448,None,None,None,None,None,None,1.3602694,0.00020921405,None,None,None,None
915000,0.15642509,4.6014075,None,None,None,None,None,None,1.3602694,0.00020875322,None,None,None,None
920000,0.27240112,5.137156,9.598706,0.052399874,0.28261822,0.10311052,0.91637707,0.0,1.3587489,0.00020829248,None,None,None,None
925000,0.18034177,4.876007,None,None,None,None,None,None,1.3572284,0.00020767807,None,None,None,None
930000,0.17293699,5.2517705,None,None,None,None,None,None,1.3572284,0.00020721724,None,None,None,None
935000,0.118451,4.233514,None,None,None,None,None,None,1.3572284,0.00020675643,None,None,None,None
940000,0.21040992,4.3022876,None,None,None,None,None,None,1.3572284,0.00020629565,None,None,None,None
945000,0.2586605,5.062825,None,None,None,None,None,None,1.3572284,0.00020583483,None,None,None,None
950000,0.2205958,4.764686,4.0180902,0.052116513,0.27852112,0.103965074,0.9176415,0.0,1.3561715,0.00020522045,None,None,None,None
955000,0.20349817,5.6383467,None,None,None,None,None,None,1.3561715,0.00020475965,None,None,None,None
960000,0.15792185,4.28871,None,None,None,None,None,None,1.3561715,0.00020434537,11.617135069578277,4981.0,12.504537499742582,598.7907927513122
965000,0.22331539,5.1998377,None,None,None,None,None,None,1.3561715,0.00020382728,None,None,7.1801224113442,204.89233350753784
