Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
220000,1.4134194,0.00028710815,-0.31469765,-1.9382403515720446,591.6842105263158,-1.9382403555669283
230000,1.4134253,0.00028651205,-0.3283369,-2.030486938660033,645.75,-2.030486950650811
240000,1.413113,0.00028590136,-0.3156304,-1.8865999212665927,499.4761904761905,-1.8865999210448492
250000,1.4129255,0.00028529015,-0.27842003,-1.5927260527086835,346.741935483871,-1.5855250755945842
260000,1.4128469,0.00028469347,-0.3967834,-1.5885234783974387,322.0967741935484,-1.5954057211056352
270000,1.4125453,0.0002841039,-0.3590711,-1.6001289404671768,330.8965517241379,-1.6070444754191808
280000,1.4124502,0.00028352058,-0.4055321,-1.6353411043127035,340.6896551724138,-1.6306822043040703
290000,1.4126351,0.0002829039,-0.3861403,-1.6305785379954614,332.65625,-1.6278822747143833
300000,1.4128808,0.00028229924,-0.31132367,-1.6277621898334473,358.3333333333333,-1.614318716785182
310000,1.4128532,0.00028169333,-0.4436773,-1.6184666464105248,339.6764705882353,-1.6327742241761263
320000,1.4126917,0.00028109332,-0.41950336,-1.6731385880708693,368.32,-1.6645757212088659
330000,1.412635,0.00028049553,-0.40055805,-1.649083549873187,364.4230769230769,-1.6490835455747752
340000,1.4126678,0.00027989337,-0.42712468,-1.653767348200615,366.35714285714283,-1.653767361172608
350000,1.4128848,0.0002792994,-0.38994706,-1.711978275872146,395.2916666666667,-1.7119782728453476
360000,1.4128553,0.00027871277,-0.39590418,-1.8245965071953834,459.6,-1.8245965026319027
370000,1.4127792,0.00027809397,-0.32269344,-1.9347895962898345,574.5882352941177,-1.9347895927288954
380000,1.4128428,0.00027749696,-0.29368335,-1.9018536244208615,589.1666666666666,-1.8976344930775024
390000,1.4129457,0.0002769158,-0.28320456,-1.885628769566354,510.6842105263158,-1.88355973519777
400000,1.413055,0.00027630426,-0.28223324,-1.932542403290669,598.2,-1.9375641345977783
410000,1.4131383,0.00027570064,-0.3039119,-1.9774960594950244,598.1875,-1.9774960577487946
420000,1.4130659,0.0002751062,-0.33865812,-2.330271494503205,782.4615384615385,-2.3302715168549466
430000,1.4128953,0.00027450718,-0.262237,-1.8857397492756718,564.25,-1.88573975302279
440000,1.4127761,0.00027389964,-0.33582747,-2.1899047599667134,781.8235294117648,-2.2216876093298197
450000,1.4126797,0.00027329603,-0.24436098,-1.6799967315617121,467.55555555555554,-1.6800695249908848
460000,1.4125113,0.0002727015,-0.29680744,-1.7783705965201888,563.7777777777778,-1.7783706072303984
470000,1.4123185,0.00027211237,-0.311699,-1.9295459398708772,585.625,-1.9295459492132068
480000,1.4122375,0.00027151292,-0.30336356,-1.8610586554688566,605.9411764705883,-1.8610586541540481
490000,1.4122398,0.00027090576,-0.2256313,-1.7536285324022174,512.6111111111111,-1.7536285370588303
500000,1.4123727,0.00027030375,-0.2504316,-1.9794272936325377,666.1538461538462,-1.9794272826268122
510000,1.4125274,0.0002697017,-0.26826355,-2.2221937713080218,804.9285714285714,-2.2193311005830765
520000,1.4124024,0.0002690995,-0.24294439,-1.6232513842927614,412.41379310344826,-1.6570531430429425
530000,1.4123114,0.00026849212,-0.23357177,-1.6657230593729764,464.4,-1.6509734265506268
540000,1.4124657,0.00026790274,-0.28494516,-1.737251219903364,516.1052631578947,-1.722368155655108
550000,1.4126558,0.00026731458,-0.3104686,-1.92874073806931,598.5294117647059,-1.9247511708074145
560000,1.4125085,0.00026670448,-0.22217932,-1.9699991062283515,641.4,-1.969999122619629
570000,1.4125937,0.00026610203,-0.23759069,-2.2805979088606203,738.8235294117648,-2.2805979313219296
580000,1.4124396,0.00026549457,-0.21737276,-1.7718881829844222,494.0869565217391,-1.77188817249692
590000,1.4129282,0.0002649018,-0.23637998,-1.6262426469302564,378.74074074074076,-1.626242642601331
600000,1.413241,0.0002642992,-0.24159063,-1.5216991729553668,328.2903225806452,-1.5216991814874834
610000,1.413371,0.00026370585,-0.28283617,-1.546725387413365,347.0,-1.5467253898580868
620000,1.4136158,0.00026312156,-0.29152152,-1.6878495544563823,439.9583333333333,-1.6878495669613283
630000,1.4137574,0.00026252083,-0.3247416,-1.8367006840287812,537.7777777777778,-1.836700686150127
640000,1.413847,0.00026190674,-0.22904108,-1.8848379274519782,512.2777777777778,-1.884837946958012
650000,1.4139462,0.00026130333,-0.1813506,-2.0057483027305674,634.0,-2.010495408438146
660000,1.4138718,0.00026069678,-0.19744356,-1.877903032067575,528.9473684210526,-1.880497607588768
670000,1.4138095,0.0002600887,-0.2075892,-1.7110341000582345,457.8636363636364,-1.7156683263324557
680000,1.4139513,0.00025948713,-0.26259968,-1.8483707264653946,516.578947368421,-1.8366379618644715
690000,1.414084,0.00025889816,-0.24100722,-1.8314368714927696,539.3125,-1.8314368659630418
700000,1.414251,0.0002582963,-0.26035926,-1.8722751313180197,598.375,-1.8722751252353191
710000,1.4144686,0.00025769003,-0.34331992,-2.0776218419584134,718.9166666666666,-2.0776218275229135
720000,1.4145786,0.00025711016,-0.3148606,-2.421131555528308,890.3076923076923,-2.4211315718980937
730000,1.4145697,0.00025652265,-0.24276385,-1.9674812640587334,575.4375,-1.9674812816083431
740000,1.4145154,0.00025591653,-0.2856357,-1.9431543773749755,599.4285714285714,-1.975458987057209
750000,1.4145701,0.00025528818,-0.2521868,-1.8766346203491968,551.7058823529412,-1.8444361438353856
760000,1.4145653,0.00025467554,-0.33057007,-1.834387433304287,531.8823529411765,-1.8343874286202824
770000,1.4144377,0.0002540826,-0.3550469,-2.126355001764993,622.9333333333333,-2.126354992389679
780000,1.4144398,0.00025349323,-0.28208658,-2.028334658971289,618.0625,-2.0283346753567457
790000,1.4144286,0.0002529191,-0.28686595,-2.199076577197187,754.3846153846154,-2.19907659636094
800000,1.4144646,0.0002523008,-0.24014316,-2.265245184690381,797.75,-2.265245189269384
810000,1.4144359,0.00025169013,-0.30935577,-2.1839555106624693,799.9285714285714,-2.183955516666174
820000,1.4144882,0.0002511049,-0.26785448,-1.9600602004987497,627.0833333333334,-1.960060187925895
830000,1.414623,0.00025050156,-0.28909388,-2.625650433696468,1061.1818181818182,-2.6884130969643594
840000,1.4146829,0.00024989518,-0.27692822,-2.0991082484002357,755.2857142857143,-2.092369290192922
850000,1.4148176,0.00024929736,-0.24221803,-1.8067793571748412,581.0769230769231,-1.80677934220204
860000,1.4147017,0.00024870277,-0.2716163,-2.178650973414603,745.1428571428571,-2.178650965648038
870000,1.414528,0.00024810087,-0.24894439,-2.313564776532495,923.6923076923077,-2.348045370231072
880000,1.4142772,0.00024750244,-0.29901296,-2.120920275964846,744.3076923076923,-2.105125827448709
890000,1.413941,0.00024690529,-0.29073942,-1.8819786553115894,689.5833333333334,-1.8819786676516135
900000,1.413859,0.00024629882,-0.33016297,-1.9447703642770648,664.4666666666667,-1.9767266203250204
910000,1.4138405,0.00024569634,-0.2579005,-2.0865688934922217,797.2,-2.0497447475790977
920000,1.4139673,0.00024509794,-0.28524825,-1.795898096428977,559.9444444444445,-1.7971528908785652
930000,1.4143513,0.00024450064,-0.29488745,-1.89696936737746,687.0666666666667,-1.9523028959830602
940000,1.4146523,0.00024390045,-0.28908238,-2.033983041747258,717.0769230769231,-1.9561673924326897
950000,1.4146303,0.0002432944,-0.307871,-1.9388627176387951,690.2307692307693,-1.938862749017202
960000,1.4146273,0.00024268327,-0.28657362,-1.7764336626209758,645.6470588235294,-1.7764336729750914
970000,1.41481,0.00024209758,-0.27829742,-2.2040613952558488,800.0,-2.2040613715847335
980000,1.4148602,0.00024150076,-0.32875478,-1.7670000294456258,558.15,-1.7670000359416007
990000,1.4148306,0.00024091134,-0.3057447,-1.7393122326911372,530.2941176470588,-1.73931223942953
1000000,1.4149559,0.00024031741,-0.3181854,-1.7600835871184244,562.9,-1.7600835956633092
1010000,1.4151136,0.00023970744,-0.2872859,-1.7757234569871798,558.3125,-1.7757234498858452
1020000,1.4152086,0.00023910135,-0.31361324,-1.6213783671986313,453.88,-1.6213783568143845
1030000,1.4152945,0.00023849445,-0.31186366,-1.5096538746396877,371.42857142857144,-1.5096538779991013
1040000,1.4152662,0.00023789093,-0.331508,-1.5175958386518889,380.6666666666667,-1.5085746416678796
1050000,1.4151466,0.0002372962,-0.36458796,-1.4744066844827362,344.7142857142857,-1.483983960131119
1060000,1.4150585,0.00023670454,-0.42468286,-1.5374551822897047,384.375,-1.5374551837642987
1070000,1.4150206,0.00023611625,-0.41376013,-1.63742896548303,451.27272727272725,-1.6316376186552501
1080000,1.4150059,0.00023551872,-0.36742675,-1.6209246866955338,449.1818181818182,-1.6269300204256307
1090000,1.4147955,0.000234911,-0.39173466,-1.5861841375008225,417.9166666666667,-1.5861841433991988
1100000,1.4145919,0.00023431005,-0.39904168,-1.632108565504578,452.0,-1.614746969370615
1110000,1.4144894,0.00023370355,-0.35230532,-1.6683580543845893,489.55,-1.6839934693915504
1120000,1.4145683,0.00023309526,-0.32916647,-1.7055294779388026,554.1666666666666,-1.686791024663869
1130000,1.4147161,0.00023250592,-0.3301582,-1.8372975007951027,601.9375,-1.82299907784909
1140000,1.4150015,0.00023190316,-0.2951239,-1.8021415223024393,588.8947368421053,-1.8329509951566394
1150000,1.4148523,0.00023130425,-0.25007582,-1.7861969992033362,595.0833333333334,-1.777064754985846
1160000,1.4143747,0.00023070586,-0.24025212,-1.7908298352122074,648.3125,-1.790829838719219
1170000,1.414064,0.00023011136,-0.25305992,-1.674334010342136,546.625,-1.6743339891545475
