Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
355000,0.05254454,-0.114729166,1.4189385,0.00026085737,None,None,None,None
360000,0.030095393,-0.109072514,1.4189385,0.00026039706,-2.1953385084992383,4981.0,-2.109855073480338,0.0
365000,0.02661718,-0.10938352,1.4189383,0.00025982133,None,None,-3.1356562841683626,0.0
370000,0.040766176,-0.110085584,1.4189385,0.00025913867,None,None,None,None
375000,0.061891533,-0.11185048,1.4189385,0.00025862668,None,None,None,None
380000,0.039599564,-0.11231234,1.4189385,0.00025811468,None,None,None,None
385000,0.062210064,-0.12222298,1.4189385,0.00025743202,None,None,None,None
390000,0.05387345,-0.123580456,1.4189385,0.00025692003,None,None,None,None
395000,0.01829688,-0.123220265,1.4189385,0.000256408,None,None,None,None
400000,0.017737383,-0.12034653,1.4189385,0.00025589604,None,None,None,None
405000,0.0037181415,-0.102758095,1.4189385,0.00025538402,None,None,None,None
410000,-0.0068375273,-0.12558343,1.4189385,0.00025470136,None,None,None,None
415000,0.021317827,-0.11741695,1.4189385,0.00025418936,None,None,None,None
420000,0.016083306,-0.126123,1.4189385,0.00025372906,-2.7894960353390466,4981.0,-2.8242082784709055,0.0
425000,0.0544343,-0.117570356,1.4189383,0.00025315332,None,None,-2.407660559110809,0.0
430000,0.037530027,-0.1153096,1.4189385,0.00025247067,None,None,None,None
435000,0.04362868,-0.111290656,1.4189385,0.00025195867,None,None,None,None
440000,0.03843604,-0.10665162,1.4189385,0.00025144668,None,None,None,None
445000,0.026604682,-0.10812291,1.4189385,0.00025076402,None,None,None,None
450000,0.026888503,-0.12309203,1.4189385,0.000250252,None,None,None,None
455000,0.005804637,-0.11904305,1.4189385,0.00024974,None,None,None,None
460000,0.040563896,-0.13198769,1.4189385,0.000249228,None,None,None,None
465000,0.031378724,-0.11950199,1.4189385,0.000248716,None,None,None,None
470000,0.027665729,-0.118428044,1.4189385,0.00024803335,None,None,None,None
475000,0.040301573,-0.12374276,1.4189385,0.00024752136,None,None,None,None
480000,0.0394208,-0.13185728,1.4189385,0.00024706102,-1.9430676197504606,4981.0,-1.918733284840445,0.0
