Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
435000,18.091175,0.06748632,-18.17865,0.027009713,0.027137175,0.10292118,6.43359,0.00029999999,-26.6126614427194,4981.0,-26.612661629915237
440000,18.1133,0.0031635095,-18.188036,0.0009795959,0.0010714668,0.10035815,6.449251,0.00029999996,None,None,None
445000,18.312748,0.0034459534,-18.220604,0.0010844837,0.0011791319,0.09856882,6.5052123,0.00029999996,None,None,None
450000,18.237665,0.0027512852,-18.284075,0.00095626834,0.0010176381,0.096897274,6.4666653,0.00029999999,-20.653965702280402,4014.0,-20.653965890407562
455000,18.2575,0.061340615,-18.333633,0.026075583,0.026106518,0.09450422,6.4629564,0.00029999999,-30.68509876076132,4981.0,-30.68509930372238
460000,18.3872,0.002407386,-18.359045,0.00080298044,0.0008019913,0.092440076,6.479995,0.00029999999,None,None,None
465000,18.294548,0.0020308034,-18.367998,0.0006508593,0.0006551993,0.090698,6.46662,0.00029999996,None,None,None
470000,18.514399,0.0019099247,-18.39393,0.00061291974,0.00064624404,0.08897017,6.431538,0.00029999996,-18.648443629499525,4981.0,-18.6484434902668
475000,18.317133,0.0021643755,-18.44071,0.0006266388,0.00066270604,0.08784393,6.4722805,0.00029999996,None,None,None
480000,18.447197,0.0024145383,-18.451927,0.0008029321,0.00085734716,0.08686075,6.4590592,0.00029999999,-29.34279619101435,4981.0,-29.342796245217322
485000,18.515316,0.001716747,-18.475359,0.0005278643,0.00055132917,0.08517429,6.4521036,0.00029999999,None,None,None
490000,18.532267,0.0018026658,-18.514244,0.0006152261,0.0006448394,0.083488904,6.4009376,0.00029999996,-27.88139716722071,4981.0,-27.88139718770981
495000,18.597643,0.0029091982,-18.53305,0.0010014528,0.0010439925,0.082939565,6.4106145,0.00029999996,None,None,None
500000,18.619942,0.0024371361,-18.61966,0.0007947823,0.0008308663,0.08117218,6.45601,0.00029999996,None,None,None
505000,18.666895,0.0022153666,-18.651869,0.0007405889,0.00074334856,0.07888836,6.471634,0.00029999996,-18.78656737599522,4981.0,-18.786567389965057
510000,18.593077,0.0025088908,-18.66904,0.0008700882,0.0008603098,0.07763105,6.466224,0.00029999996,-24.084230736208458,3921.3333333333335,-24.084230676293373
515000,18.713993,0.002593607,-18.687119,0.0007912972,0.00082351285,0.075714745,6.4242415,0.00029999999,-33.80397013342008,4981.0,-33.80397009849548
520000,18.746998,0.0038966574,-18.719316,0.0010789777,0.0010312542,0.07337573,6.462262,0.00029999996,None,None,None
525000,18.650805,0.0032428657,-18.733213,0.0010111332,0.001016764,0.07203265,6.466952,0.00029999999,None,None,None
530000,18.670023,0.0024763865,-18.725933,0.0007505836,0.0008076045,0.07092917,6.464441,0.00029999996,-28.64503267671292,4301.0,-28.64503303170204
535000,18.548721,0.07538403,-18.690409,0.027848566,0.027913963,0.06953873,6.486122,0.00029999999,-35.99357005767524,4981.0,-35.993570268154144
540000,18.754272,0.0022798015,-18.710135,0.0008035567,0.0008153985,0.06837939,6.483622,0.00029999999,None,None,None
