Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
155000,1.3950235,0.0002847529,-0.2518348,-0.5555555638339784,248.0,-0.568181826648387,0.0018140948,0.06864988
160000,1.3940357,0.00028424538,-0.24249943,-0.566666675110658,248.0,-0.5761904893886476,0.0015892582,0.07224086
165000,1.3939598,0.0002837373,-0.23849857,-0.6388888984090753,248.0,-0.6388889058596559,0.0016711373,0.06966656
170000,1.3930656,0.00028323234,-0.23961289,-0.5962963051818035,248.0,-0.5777777909404702,0.0014113355,0.07006712
175000,1.3891735,0.0002827279,-0.24748711,-0.49444445181224084,248.0,-0.5363636467267167,0.0015203834,0.06953515
180000,1.3859276,0.00028227794,-0.23760517,-0.5000000074505806,248.0,-0.5181818282739683,0.001440573,0.062830225
185000,1.3856096,0.00028176967,-0.21931823,-0.47777778489722145,248.5,-0.47368422111398295,0.0015136382,0.07006571
190000,1.3846622,0.00028126137,-0.20883635,-0.4611111179822021,248.0,-0.46111112129357124,0.0014238395,0.06896726
195000,1.381536,0.00028075645,-0.20026398,-0.42962963603161,248.0,-0.46000001206994057,0.0015487556,0.06479991
200000,1.3799833,0.00028025202,-0.1885823,-0.45000000670552254,248.0,-0.3954545540565794,0.0010554406,0.07460676
205000,1.3789749,0.00027974448,-0.17167823,-0.4333333397905032,248.0,-0.4571428664383434,0.0014829106,0.06470495
210000,1.3775288,0.00027923638,-0.16222875,-0.361111116492086,248.0,-0.3611111181477706,0.0010157368,0.06329182
215000,1.3754861,0.00027873143,-0.16665629,-0.4629629698616487,248.0,-0.4555555619299412,0.0016223631,0.065594725
220000,1.3726012,0.000278227,-0.16768286,-0.40555556159880424,248.0,-0.4318181919780644,0.0013677841,0.073752314
225000,1.3722421,0.000277777,-0.15624264,-0.4222222285138236,248.0,-0.4136363718320023,0.0012747745,0.07004051
230000,1.3697389,0.00027726876,-0.16181292,-0.4000000059604645,248.5,-0.4105263262202865,0.0012544213,0.06958453
235000,1.3665836,0.00027676052,-0.16595265,-0.47777778489722145,248.0,-0.4777777890364329,0.0013612541,0.063434005
240000,1.3633292,0.00027625554,-0.17413123,-0.40370370971935765,248.0,-0.4050000090152025,0.0014132975,0.07105185
245000,1.360822,0.0002757511,-0.17832378,-0.3888888946837849,248.0,-0.4136363718320023,0.0010268647,0.06909756
