Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
200000,None,None,None,None,3.9330623,None
205000,6.41768,0.0003,-21.7156282402575,2885.0,3.8997555,-21.715628623962402
210000,6.435667,0.00029999999,-26.080891695804894,3627.0,4.523341,-26.080892086029053
215000,6.4276633,0.00029999999,-19.12167895270977,4998.0,4.4361553,-19.121679112315178
220000,6.429795,0.00029999999,None,None,4.56308,None
225000,6.438927,0.0003,-33.018774369731545,4998.0,4.5532813,None
230000,6.4364448,0.00029999999,-26.579316973530997,4573.166666666667,4.47171,-23.881715655326843
235000,6.4332204,0.00029999996,None,None,4.5756116,-32.322604497273765
240000,6.442528,0.00029999999,-4.881009719334543,2170.0,4.938355,-4.881009817123413
245000,6.4310923,0.00029999999,None,None,5.2681212,None
250000,6.4184275,0.00030000007,None,None,7.7753296,None
255000,None,None,None,None,7.7384663,None
260000,6.4234147,0.0003,-18.64877713099122,2758.0,7.9523687,-18.64877700805664
265000,6.4233875,0.00029999999,-29.150381665676832,4998.0,8.637025,-29.150381088256836
270000,6.4216638,0.00029999999,-33.05821103602648,4998.0,8.720046,-36.32794141769409
275000,6.41849,0.00029999999,-29.33829936850816,4423.5,8.62027,-29.48835889498393
280000,6.4161716,0.00030000007,None,None,8.746074,None
285000,6.416535,0.0003,-33.378753900527954,4998.0,8.69015,-33.378753662109375
290000,6.421767,0.0003,-25.33690352505073,4998.0,9.726756,-16.05917263031006
295000,6.434313,0.00029999999,-21.82693237438798,2991.0,9.73494,-26.778844475746155
300000,6.42551,0.00029999999,-15.936543169431388,4998.0,10.65733,-15.936543464660645
305000,6.4304,0.00029999999,-30.898002542555332,3806.0,10.85894,None
310000,6.4288187,0.00029999999,-23.089010260999203,1654.0,10.874825,-26.99350643157959
315000,None,None,None,None,10.981142,None
320000,6.4029512,0.0003,None,None,11.3192,None
325000,6.385658,0.00029999999,None,None,11.610069,None
330000,6.433832,0.00029999999,-56.1231447160244,4998.0,12.0019045,-53.27791404724121
335000,6.4345984,0.00029999999,-31.21661219187081,4998.0,12.465286,-58.96837615966797
340000,6.4289513,0.0003,-6.032058126060292,4998.0,12.549751,-18.6243354678154
345000,6.4307995,0.00029999999,-12.166378234978765,4998.0,13.101869,None
350000,6.429999,0.00029999999,-34.66209605662152,4998.0,13.095014,-25.331841945648193
355000,6.4237885,0.00029999999,-31.853937074542046,4998.0,13.327428,-40.67066526412964
360000,6.413543,0.00029999999,None,None,14.167413,None
365000,6.405113,0.0003,-31.16306321695447,4703.0,14.329403,-31.163063049316406
370000,6.407908,0.00029999999,-16.934857008978724,4998.0,14.536891,-16.93485713005066
375000,None,None,None,None,14.356661,None
380000,6.4087977,0.00029999999,None,None,14.392746,None
385000,6.4193683,0.00029999996,None,None,14.709227,None
390000,6.4102845,0.00029999996,-41.012075271457434,4918.5,15.21614,-41.012075901031494
395000,6.4121685,0.00029999999,-21.676139024551958,4998.0,15.131665,-15.244869232177734
400000,6.4124856,0.00029999996,None,None,15.16061,-28.10740852355957
405000,6.417941,0.0003,-34.284851813688874,4998.0,15.209643,-34.284852027893066
410000,6.436056,0.0003,-29.179952115751803,4998.0,15.587502,-33.23204310735067
415000,6.422822,0.0003,-12.734571289271116,4998.0,15.663615,-17.023678302764893
420000,6.4228673,0.0003,-29.965742092579603,4316.0,15.689953,-21.350156784057617
425000,6.4244075,0.0003,-20.17837096005678,2774.0,15.818813,-20.178371906280518
430000,6.4244437,0.00029999999,-6.528050520922989,4998.0,16.09392,-6.528050422668457
435000,None,None,None,None,16.365932,None
440000,6.4253383,0.00029999996,-31.989480458199978,2735.0,16.497663,None
445000,6.4412756,0.00029999999,None,None,16.790953,-31.989479064941406
450000,6.439318,0.00029999996,-22.404450427740812,4998.0,16.917826,-22.404449939727783
455000,6.4212594,0.00029999999,-42.9701089351438,4998.0,17.086885,-62.05158233642578
460000,6.4312625,0.00029999996,None,None,17.347082,-23.888636589050293
465000,6.4395156,0.00029999996,-33.51966369524598,4998.0,17.371225,-33.51966333389282
470000,6.438533,0.00029999999,-24.18321803266493,4998.0,17.553062,-13.613722801208496
475000,6.4405775,0.0003,None,None,17.370842,-29.467967003583908
480000,6.4400024,0.00029999999,-33.7348590278998,4998.0,17.546486,-33.73485827445984
485000,6.4373784,0.0003,-15.067857879213989,4998.0,17.414871,-15.067858219146729
490000,6.441051,0.00029999999,-20.530184231698513,4998.0,17.466064,-20.530183792114258
495000,6.4292197,0.00030000007,None,None,17.50215,None
500000,6.414328,0.00029999996,-57.79380414262414,4998.0,17.565374,None
505000,6.4108353,0.00029999999,-10.187804778339341,4826.0,17.56774,-57.79380226135254
510000,6.4054008,0.00029999999,None,None,17.613869,-10.187804937362671
515000,6.425564,0.00029999999,-53.49443162418902,4998.0,17.71677,-70.6296157836914
520000,6.420851,0.00029999996,None,None,17.815104,-36.3592472076416
525000,6.4237714,0.00029999996,-42.31315918266773,4998.0,17.991814,-42.31316089630127
530000,6.4156036,0.00029999999,-20.881236544189353,4998.0,17.994085,-30.650333404541016
535000,6.414701,0.0003,None,None,18.01075,-15.996688723564148
540000,6.422333,0.00029999999,-25.228858422953635,4998.0,18.069246,-25.228859186172485
545000,6.4255786,0.0003,-9.313144611893222,4998.0,17.984007,-9.31314504146576
550000,6.4281535,0.00029999999,-12.226676755584776,4471.0,17.996042,-12.22667670249939
555000,6.4281535,0.00030000007,None,None,17.882328,None
560000,6.4270515,0.00029999999,-24.11586280912161,2778.0,17.89208,-24.115861892700195
565000,6.4321575,0.00029999999,-46.32415822893381,4998.0,18.014318,-46.324158668518066
570000,6.428903,0.00029999996,-18.913458086550236,2172.0,17.883726,-18.9134578704834
575000,6.4229274,0.00029999999,None,None,17.921947,None
580000,6.4219604,0.00029999999,-21.124890538165346,4998.0,18.208477,-21.124890446662903
585000,6.4151487,0.00029999999,-22.704869287088513,4449.5,18.097443,-22.704869270324707
590000,6.420547,0.00029999999,-33.05194283276796,4998.0,18.137703,-33.05194282531738
595000,6.420609,0.00029999999,-19.534181895665824,4998.0,18.062788,-19.5341819524765
600000,6.4220695,0.0003,None,None,18.05603,None
605000,6.430019,0.00029999999,-16.508202595403418,4390.5,18.038944,-16.508202970027924
610000,6.400217,0.00029999996,None,None,18.306465,None
615000,6.420548,0.00030000007,None,None,18.50979,None
620000,6.4182596,0.00029999996,-36.392567582428455,4998.0,18.244871,-36.3925666809082
625000,6.416352,0.00029999999,-32.57552931457758,4998.0,18.213243,-32.57552909851074
630000,6.4165497,0.00029999999,None,None,18.406923,None
635000,6.4203606,0.00029999999,-28.10740108974278,4998.0,18.127108,-28.10740089416504
640000,6.417692,0.00029999999,-47.650331880897284,4998.0,18.375668,-47.6503324508667
645000,6.4067907,0.00029999999,-25.22510470589623,4998.0,18.36013,-25.225104808807373
650000,6.41048,0.0003,-35.93119751662016,4998.0,18.505781,-35.93119752407074
655000,6.3957276,0.00029999996,None,None,18.59886,None
660000,6.4003015,0.00029999999,-18.952670271508396,4998.0,18.627771,-18.952670097351074
665000,6.399056,0.0003,-21.4583842047723,4998.0,18.447828,-21.45838451385498
670000,6.4023933,0.00029999996,None,None,18.566998,None
675000,6.390532,0.00030000007,None,None,18.430752,None
680000,6.39085,0.00029999996,-39.09704643860459,4998.0,18.63855,-39.0970458984375
685000,6.3931704,0.00029999999,-30.438035802915692,4998.0,18.749298,-30.438034534454346
690000,6.41655,0.00029999999,None,None,18.660172,None
695000,6.4247737,0.00029999999,-26.673059104010463,4998.0,18.65648,-26.67305898666382
700000,6.4251957,0.00029999999,-31.15258385427296,4998.0,18.596825,-31.152583122253418
705000,6.4309263,0.00029999999,-36.43696958664805,4998.0,18.590254,-36.43696856498718
710000,6.431104,0.0003,-42.739170582965016,4998.0,18.51924,-42.739171266555786
715000,6.42249,0.00029999996,None,None,18.67647,None
720000,6.4149966,0.00029999999,-23.357939991168678,4998.0,18.739439,-23.357939958572388
725000,6.4218097,0.0003,-37.11234738584608,4998.0,18.650362,-37.11234760284424
730000,6.431827,0.00029999996,None,None,18.634518,None
735000,6.4292655,0.00030000007,None,None,18.649916,None
740000,6.4254913,0.00029999996,-16.440694568678737,4998.0,18.6985,-16.440694332122803
745000,6.421588,0.00029999999,-24.95471167936921,4998.0,18.636621,-24.9547119140625
750000,6.427003,0.00029999999,None,None,18.452547,None
755000,6.4289947,0.00029999999,-8.021628613350913,4998.0,18.596773,-8.021628618240356
760000,6.4310565,0.00029999999,-33.359684572555125,4998.0,18.464958,-33.35968542098999
765000,6.425984,0.00029999999,-23.21557439211756,4998.0,18.410246,-23.215574502944946
770000,6.4106593,0.0003,-35.522352155297995,4998.0,18.431953,-35.52235221862793
775000,6.4163256,0.00029999996,None,None,18.32961,None
780000,6.4188895,0.00029999999,-33.141810877248645,3782.0,18.111712,-33.14181089401245
785000,6.4108515,0.00029999999,-32.42722220439464,4998.0,18.308258,-32.42722225189209
790000,6.4097195,0.00029999996,None,None,18.225033,None
795000,6.4115267,0.00029999999,None,None,18.199959,None
800000,6.4196615,0.00029999999,-38.82061285153031,4998.0,18.251375,-38.82061290740967
805000,6.4162607,0.00029999999,-30.149758156388998,4998.0,18.19371,-30.149757862091064
810000,6.4384103,0.00029999999,None,None,18.244637,None
