Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
85000,1.4033992,0.00029506555,-0.13448527,0.0008386122,0.07853411,-0.4166666728754838,330.5,-0.4166666757729318
90000,1.4021708,0.0002947748,-0.13477036,0.0006598739,0.071913026,-0.3222222270237075,330.0,-0.3176470661864561
95000,1.4002515,0.00029447232,-0.12673193,0.00041047268,0.08067743,-0.2222222255335914,331.0,-0.24000000432133675
100000,1.399377,0.0002941654,-0.1110861,0.000530029,0.0695377,-0.25555555936363006,330.5,-0.25555556019147235
105000,1.3980455,0.00029387465,-0.10336001,0.0006837265,0.0732106,-0.25555555936363006,330.0,-0.26470588848871346
110000,1.3960983,0.00029357214,-0.09656893,0.00048179945,0.0722765,-0.15555555787351397,331.0,-0.15000000223517418
115000,1.3945769,0.00029326524,-0.07833756,0.0003587982,0.06702849,-0.09444444585177633,330.5,-0.09444444626569748
120000,1.3925968,0.00029297447,-0.074027665,0.00051024137,0.071278706,-0.20000000298023224,330.0,-0.2058823560090626
125000,1.3912109,0.00029267193,-0.07129252,0.00024048545,0.07482335,-0.12222222404347526,331.0,-0.12000000327825547
130000,1.3888415,0.00029236503,-0.06993121,0.00046303176,0.0604514,-0.15000000223517418,330.5,-0.15000000264909533
135000,1.3882495,0.00029207428,-0.06152068,0.00030906644,0.07033298,-0.11666666840513547,330.0,-0.123529414043707
140000,1.3859968,0.0002917718,-0.05322981,0.00032253333,0.06978097,-0.10000000149011612,331.0,-0.0900000013411045
145000,1.3838862,0.00029146485,-0.042607892,0.0001457498,0.06203994,-0.07777777893675698,330.5,-0.07777777935067813
150000,1.3820341,0.0002911741,-0.034465972,0.00034194524,0.06275348,-0.11666666840513547,330.0,-0.11176470754777684
155000,1.3806695,0.0002908716,-0.030083306,0.00023824735,0.06371526,-0.06666666766007741,331.0,-0.0800000011920929
160000,1.3798118,0.00029056464,-0.027023612,0.00020725705,0.07672508,-0.06111111202173763,330.5,-0.06111111202173763
165000,1.3777767,0.00029027392,-0.021596141,0.00015350844,0.068072006,-0.05555555638339785,330.0,-0.0588235302883036
170000,1.3768214,0.00028997142,-0.023989739,0.00029378742,0.07086144,-0.1111111127667957,331.0,-0.10000000149011612
175000,1.3755463,0.00028966446,-0.029183129,0.00018187492,0.06985903,-0.08333333457509677,330.5,-0.08333333457509677
180000,1.3747377,0.00028937374,-0.025839532,0.00018706764,0.072435655,-0.05555555638339785,330.0,-0.05294117725947324
185000,1.3727399,0.00028907123,-0.030305253,0.00010565626,0.073223114,-0.06666666766007741,331.0,-0.07000000104308128
190000,1.3714173,0.0002887643,-0.037133615,0.00033367038,0.06894953,-0.1388888909584946,330.5,-0.13888889137241575
195000,1.3709365,0.00028847353,-0.043033887,0.00029412817,0.07839985,-0.1444444465968344,330.0,-0.1411764731301981
200000,1.3688511,0.00028817105,-0.03397125,0.0002552654,0.070996426,-0.07777777893675698,331.0,-0.09000000208616257
205000,1.3674022,0.00028786412,-0.029726816,0.00023928273,0.06605522,-0.08888889021343654,330.5,-0.08888889062735769
210000,1.3670192,0.00028757338,-0.020746673,0.00022046085,0.06290373,-0.07777777893675698,330.0,-0.08235294240362503
215000,1.367502,0.00028727087,-0.015113203,0.00013895659,0.073669896,-0.033333333830038704,331.0,-0.030000000447034835
220000,1.3642213,0.0002869639,-0.014834593,0.0001664214,0.065084934,-0.0722222232984172,330.5,-0.0722222232984172
225000,1.3621603,0.0002866732,-0.017003423,0.00017356273,0.06878469,-0.05555555638339785,330.0,-0.0588235302883036
230000,1.3619913,0.00028637072,-0.016649002,0.0001710757,0.066481784,-0.08888889021343654,331.0,-0.0800000011920929
235000,1.3604755,0.00028606376,-0.021156965,0.0001265351,0.07091932,-0.05000000074505806,330.5,-0.05000000074505806
240000,1.3597674,0.00028577304,-0.023624763,8.772894e-05,0.07138141,-0.05000000074505806,330.0,-0.05294117725947324
245000,1.357579,0.00028547054,-0.018480713,0.00013098479,0.06253324,-0.033333333830038704,331.0,-0.030000000447034835
250000,1.3560915,0.0002851636,-0.015444596,7.5644595e-05,0.072875276,-0.033333333830038704,330.5,-0.033333333830038704
255000,1.3539746,0.00028487283,-0.01336064,0.00012043961,0.069476455,-0.03888888946837849,330.0,-0.04117647120181252
