Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
890000,0.24775107,0.0012900837,0.01221954,1.4098619,0.00024689702,7.5046737672993915,3226.4,7.504673779010773
900000,0.23804544,0.0013054629,0.016397992,1.4101765,0.00024629445,12.103902048722375,4981.0,12.103902000188828
910000,0.24550289,0.0026355335,0.013944474,1.4103926,0.00024569363,5.730428895602624,2580.0,5.730428914229075
920000,0.25308222,0.0040825712,0.019668626,1.4105501,0.00024509008,5.905726554105058,2388.3333333333335,5.905726581811905
930000,0.26106918,8.797771e-05,0.012529688,1.41049,0.00024450032,13.732332485727966,4981.0,13.732332468032837
940000,0.26495838,0.0040254993,0.016522124,1.4101857,0.00024390618,3.411055126072218,1672.0,3.4110551377137504
950000,0.26447693,0.0014507952,0.015476257,1.4098806,0.00024330325,9.578856531530619,3959.5,9.5788564234972
960000,0.25873208,0.0027376025,0.018326433,1.4094309,0.00024269625,11.341497704294548,4538.166666666667,11.341497684518496
970000,0.26180905,None,None,1.4089357,0.0002420987,9.94200858217664,3901.0,9.942008554935455
980000,0.2583529,0.0012812818,0.017916756,1.4086798,0.00024150235,4.223010404035449,2104.0,4.223010361194611
990000,0.2537953,0.0013778289,0.018903244,1.4085163,0.00024089219,5.4421775145456195,2547.0,5.4421775341033936
1000000,0.24310017,0.0013371754,0.01268441,1.4087055,0.0002402891,12.29732588987099,4963.0,12.297325864434242
1010000,0.24180011,0.0013689693,0.017133458,1.4088658,0.00023970328,12.214101690798998,4973.0,12.214101746678352
1020000,0.23232625,0.0012101964,0.01288572,1.4089186,0.00023909876,12.242150844623392,4810.0,12.242150861024857
1030000,0.23112497,0.0012538171,0.013719525,1.4089853,0.00023849758,12.440741661936045,4981.0,12.440741539001465
1040000,0.2287775,4.8366044e-05,0.018316336,1.4091499,0.00023789548,9.43260320497211,4304.5,9.4326032102108
1050000,0.23557347,0.0012033255,0.013357845,1.4094658,0.00023728506,12.434274955186993,4981.0,12.434274792671204
1060000,0.2469362,4.691955e-05,0.025176043,1.4095323,0.00023668908,12.978275072746328,4981.0,12.978274911642075
1070000,0.24248056,4.458055e-05,0.020818897,1.4092531,0.00023610216,12.501097604166716,4981.0,12.501097545027733
1080000,0.24223125,4.4853867e-05,0.014963778,1.408774,0.00023550393,11.328523613275442,4884.333333333333,11.328523635864258
1090000,0.25291866,0.0013457559,0.016602656,1.4083483,0.00023490429,None,None,None
1100000,0.25998178,6.569558e-05,0.01829906,1.4078498,0.00023429394,8.19304507902416,3405.25,8.193045027554035
1110000,0.2580107,0.0026186896,0.012428259,1.4075279,0.00023368759,10.574633254960645,3881.0,10.574633195996284
1120000,0.25978956,0.0026101463,0.018110357,1.4075058,0.00023309153,8.559248823129261,3688.3333333333335,8.559248884518942
1130000,0.2630416,0.0012283187,0.014210743,1.4076318,0.00023250275,12.786764359203517,4981.0,12.786764174699783
1140000,0.2581366,8.2561164e-05,0.016139641,1.4076806,0.00023190386,13.436427939838419,4981.0,13.436427970727285
1150000,0.256687,0.0005630645,0.013221615,1.4074868,0.00023129913,6.556106887757778,2808.0,6.556106865406036
1160000,0.25336704,3.1573963e-05,0.011303008,1.4070876,0.00023070043,11.705991463270038,4981.0,11.705991496642431
1170000,0.25102264,0.0009998054,0.017087035,1.4067936,0.00023009792,9.473144699910335,3934.5,9.473144672811031
1180000,0.2510703,0.0062175365,0.01699019,1.4066111,0.00022947897,6.751190275111003,3063.4,6.751190280914306
1190000,0.25927877,0.0012882652,0.011475244,1.4064621,0.00022888463,1.2566130822524428,951.0,1.2566131353378296
1200000,0.25009322,0.0013506112,0.014898792,1.4063272,0.00022829454,7.042950634844601,2995.5,7.04295052587986
