Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Environment/Cumulative Reward,Environment/Episode Length
1270000,-0.15047309,1.4140577,0.00022409594,0.000116836636,0.014181657,None,None
1280000,-0.16873531,1.4141897,0.00022349709,9.482237e-05,0.015697962,-6.697498847352108,4981.0
1290000,-0.23897286,1.4140532,0.00022290582,0.00014397354,0.019265097,-6.486455658373113,4981.0
1300000,-0.27527982,1.4136778,0.00022230393,None,None,-14.572170878605297,3818.0
1310000,-0.20184739,1.4133786,0.00022170675,0.0002920448,0.014617143,-6.741335693019209,4981.0
1320000,-0.22594555,1.4132687,0.00022110807,0.00014455557,0.019301498,None,None
1330000,-0.23191655,1.4133141,0.00022049855,0.0005401793,0.014258792,-13.194178401085082,4981.0
1340000,-0.22446947,1.4130981,0.00021989357,0.00011856031,0.021446137,-16.5582291635219,4981.0
1350000,-0.21200404,1.4127824,0.00021928914,0.0017943162,0.018848402,-9.801143975593732,4935.25
1360000,-0.21505977,1.4127676,0.00021871063,0.00013547354,0.012088115,-4.342222430743277,1066.0
1370000,-0.21251285,1.4125758,0.0002181108,0.0004025172,0.016726213,-9.452879657736048,3648.5
1380000,-0.20404309,1.4123708,0.00021749397,0.00022357538,0.011125208,-8.877971613628324,4100.8
1390000,-0.22722293,1.4122051,0.00021690775,0.0020494782,0.010648989,-13.371904505416751,4981.0
1400000,-0.25825933,1.4121816,0.00021630818,8.823067e-05,0.015674302,-8.628105707583018,4981.0
1410000,-0.2338787,1.4121996,0.00021569757,8.02337e-05,0.018277729,-12.214629706169944,4981.0
1420000,-0.2069029,1.4122131,0.00021510692,0.00011671954,0.021779006,-13.019906871641675,4981.0
1430000,-0.222837,1.4120909,0.00021450769,0.0015215869,0.010808364,-7.078044897440122,3300.0
1440000,-0.24218166,1.4119686,0.0002139063,0.0037120576,0.013020892,-6.896470850892365,2855.4
1450000,-0.22577825,1.4118949,0.00021330964,0.0016239455,0.020030458,-6.450971869227942,1824.0
