Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length
965000,-0.088971935,0.5536816,1.1371497,0.0005,None,None
970000,-0.17084096,1.1005181,None,None,None,None
975000,-0.069500156,0.611628,None,None,None,None
980000,-0.022067925,0.3393796,None,None,None,None
985000,0.007547761,0.31012884,1.1677274,0.0005,None,None
990000,-0.063164175,0.6281793,None,None,None,None
995000,-0.15846862,1.3340595,None,None,None,None
1000000,-0.02546814,0.57475036,None,None,None,None
1005000,-0.042939067,0.40373367,None,None,None,None
1010000,0.014172184,0.30499718,0.9920699,0.0005,-43.175588274114794,4998.0
1015000,-0.14440703,0.8141325,None,None,None,None
1020000,-0.028327331,0.5097953,None,None,None,None
1025000,-0.0740984,0.52916855,1.0994899,0.0005,None,None
1030000,-0.1356139,1.3647733,None,None,None,None
1035000,-0.0472461,0.6447567,None,None,None,None
1040000,0.020847829,0.46018544,None,None,None,None
1045000,0.0068136747,0.3048114,1.0881851,0.0005,None,None
1050000,-0.21320035,0.4024398,None,None,None,None
1055000,-0.2814021,0.50742567,None,None,None,None
1060000,-0.29103163,0.85601944,None,None,None,None
1065000,-0.16845827,0.3487035,None,None,None,None
1070000,-0.10855412,0.27776173,1.266877,0.0005,-45.821066515302846,4998.0
1075000,-0.3221235,0.67786026,None,None,None,None
1080000,-0.17558095,0.4647792,None,None,None,None
1085000,-0.20326829,0.31786194,1.8115761,0.0005,None,None
1090000,-0.25649863,0.49036694,None,None,None,None
1095000,-0.21131627,0.5490323,None,None,None,None
1100000,-0.07566748,0.15886337,None,None,None,None
1105000,-0.120422035,0.16548698,1.070001,0.0005,None,None
1110000,-0.2873873,0.3984882,None,None,None,None
1115000,-0.3891419,1.1256075,None,None,None,None
1120000,-0.2688223,0.83173925,None,None,None,None
1125000,-0.09878951,0.2906124,None,None,None,None
1130000,-0.12950653,0.3277146,0.89405215,0.0005,-57.02614687453752,4998.0
1135000,-0.35554937,1.0203872,None,None,None,None
1140000,-0.13280363,0.266872,None,None,None,None
1145000,-0.20886992,0.2361847,1.3823549,0.0005,None,None
1150000,-0.25980318,0.30063233,None,None,None,None
1155000,-0.41108778,1.0053309,None,None,None,None
1160000,-0.09811429,0.25591308,None,None,None,None
1165000,-0.13047226,0.20762534,1.2655867,0.0005,None,None
1170000,-0.20478764,0.29176202,None,None,None,None
1175000,-0.3047947,0.2426047,None,None,None,None
1180000,-0.35380295,0.971175,None,None,None,None
1185000,-0.23278895,0.48557174,None,None,None,None
1190000,-0.0842127,0.19789611,1.569118,0.0005,-48.17867376683686,4998.0
1195000,-0.21257941,0.24729253,None,None,None,None
1200000,-0.19094196,0.24333079,None,None,None,None
