Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
100000,1.6745405,0.00028538133,-0.012203242,-1.5999999570776708,4961.0,-1.5999996268656105,0.0017778631,0.07781516
105000,1.6603285,0.000284624,-0.027389664,-1.9999999494757503,4961.0,-1.9999995136167854,0.00023964213,0.0810792
110000,1.639445,0.0002838806,-0.0063353362,-1.8999999513762305,4961.0,-1.8999995419289917,0.00023187033,0.07284797
115000,1.667233,0.00028312908,-0.010972447,None,None,None,0.00015379784,0.06467386
120000,1.6320112,0.0002823658,-0.023707649,None,None,None,0.0003956629,0.07710894
125000,1.5604511,0.0002816281,-0.02457064,-2.4783999626524746,3668.0,-2.478399693965912,0.0011929512,0.070495
130000,1.5274054,0.00028088278,-0.02264451,-2.122199971025111,3032.0,-2.122199758887291,0.0016879516,0.061291564
135000,1.5131153,0.00028012128,-0.04037986,-1.9950666415291682,2468.6666666666665,-1.9950663894414902,0.0044460553,0.06860238
140000,1.5534312,0.00027937494,-0.033181958,-1.9999999494757503,4961.0,-1.9999995136167854,0.0013227531,0.077503465
145000,1.6074498,0.00027862523,-0.04695616,-1.2643999933206942,656.0,-1.2643999010324478,0.0013064521,0.06616678
150000,1.5219401,0.00027788017,-0.046596,-1.8305999657604843,3549.0,-1.7999996000435203,0.00016783863,0.0702969
155000,1.4480742,0.0002771267,-0.02586779,-1.7999999532767106,4961.0,-1.8203996256925166,0.0015071487,0.07132414
160000,1.5125132,0.000276372,-0.034077242,None,None,None,0.000102812526,0.05966159
165000,1.571116,0.00027563283,-0.03252097,None,None,None,9.4720366e-05,0.07459983
170000,1.5809255,0.0002748806,-0.03980847,None,None,None,9.316297e-05,0.06780351
175000,1.5983592,0.00027412528,-0.040314972,-1.9999999494757503,4961.0,-1.9999995136167854,0.00015464204,0.06601799
180000,1.4903728,0.00027338654,-0.036875136,-1.7999999532767106,4961.0,-1.7999995404388756,7.287682e-05,0.0815205
185000,1.3885977,0.00027263374,-0.044859003,-1.9999999494757503,4961.0,-1.9999995136167854,7.0209695e-05,0.06845921
190000,1.4535425,0.00027187457,-0.045579713,-1.9999999494757503,4961.0,-1.9999995136167854,6.1694824e-05,0.07150273
195000,1.5245885,0.00027113524,-0.04460118,-1.9999999494757503,4961.0,-1.9999995136167854,5.290854e-05,0.06544522
200000,1.4614414,0.00027038108,-0.03710574,-1.9999999494757503,4961.0,-1.9999995136167854,0.00010705463,0.07126929
205000,1.4127444,0.00026962062,-0.032690797,None,None,None,3.7121696e-05,0.06788409
210000,1.3943704,0.00026888147,-0.03206658,None,None,None,5.6347973e-05,0.07232946
215000,1.4338353,0.00026812925,-0.047471937,None,None,None,0.00012937954,0.07507487
220000,1.4801265,0.00026737523,-0.055640053,-1.9691999586745321,4058.0,-1.969199596438557,0.0014221885,0.07009885
225000,1.4634463,0.0002666519,-0.0563039,-1.7999999532767106,4961.0,-1.7999995404388756,0.00010885237,0.074390404
230000,1.430861,0.00026589652,-0.03920402,-1.9999999494757503,4961.0,-1.9999995136167854,6.488344e-05,0.08100766
235000,1.3681107,0.00026512332,-0.03429246,-1.9999999494757503,4961.0,-1.9999995136167854,7.738426e-05,0.06774606
240000,1.3605777,0.00026439942,-0.042897522,-1.7595999681798276,3124.5,-1.7595996957970783,0.000996434,0.06522083
245000,1.3374531,0.0002636441,-0.042623512,-1.9999999494757503,4961.0,-1.9999995136167854,8.125359e-05,0.061463997
250000,1.3505758,0.0002628705,-0.047392786,None,None,None,0.0001249796,0.06760727
255000,1.3687967,0.00026214894,-0.03653046,None,None,None,7.4484786e-05,0.07339784
260000,1.4407643,0.00026139437,-0.028500877,None,None,None,6.66739e-05,0.06650065
