Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
3740000,-0.0071185865,1.4082768,7.574816e-05,None,None,None,2.2537002e-05,0.07292607
3745000,-0.007590418,1.4082712,7.547168e-05,None,None,None,1.9580884e-06,0.07467971
3750000,-0.009058128,1.4079008,7.5149124e-05,None,None,None,1.838007e-05,0.07086634
3755000,-0.007879319,1.4079536,7.482655e-05,None,None,None,4.6825968e-05,0.07030711
3760000,-0.0113569135,1.4078541,7.455008e-05,None,None,None,1.5076358e-05,0.06773429
3765000,-0.014363227,1.4074284,7.4273594e-05,None,None,None,1.9215573e-05,0.06782483
3770000,-0.008614286,1.40774,7.395104e-05,None,None,None,3.7852133e-05,0.062681876
3775000,-0.012996886,1.4077264,7.362847e-05,None,None,None,1.5934418e-05,0.057639346
3780000,-0.028647618,1.4083155,7.335201e-05,None,None,None,3.349135e-05,0.060672548
3785000,-0.01629222,1.4086076,7.307129e-05,-0.2166666698952516,4961.0,-0.2166666698952516,1.3454096e-05,0.080628216
3790000,-0.010407564,1.4084307,7.274648e-05,None,None,None,3.8614435e-06,0.062375378
3795000,-0.008712595,1.4084998,7.242393e-05,None,None,None,2.2609798e-05,0.06651014
3800000,-0.008593179,1.4082437,7.214744e-05,None,None,None,4.0147348e-05,0.07210332
3805000,-0.009929546,1.4084707,7.187096e-05,None,None,None,1.2151424e-05,0.07440433
3810000,-0.012931822,1.4087734,7.15484e-05,None,None,None,2.452361e-05,0.06507334
3815000,-0.014140682,1.4090377,7.122584e-05,None,None,None,3.4192635e-05,0.06299795
3820000,-0.014029956,1.4090639,7.0949354e-05,None,None,None,1.1599356e-05,0.069092385
3825000,-0.006617557,1.4083996,7.067288e-05,None,None,None,4.96079e-05,0.0728991
3830000,-0.0037413912,1.4080296,7.035032e-05,None,None,None,1.27620715e-05,0.07035069
3835000,-0.008881536,1.4079914,7.0027774e-05,None,None,None,3.9187224e-05,0.06375623
3840000,-0.012819999,1.4077843,6.975129e-05,None,None,None,4.9761757e-06,0.057426758
3845000,-0.008193547,1.4074843,6.9470574e-05,-0.2083333364377419,4961.0,-0.2083333364377419,2.0741765e-05,0.06867111
3850000,-0.0077842535,1.4072284,6.914577e-05,None,None,None,5.118693e-06,0.07540931
3855000,-0.011722658,1.407068,6.88232e-05,None,None,None,2.7015369e-05,0.07195967
3860000,-0.011042636,1.407129,6.8546724e-05,None,None,None,1.6339503e-05,0.066571064
3865000,-0.00929254,1.4072315,6.827024e-05,None,None,None,1.2448158e-05,0.071232095
3870000,-0.0060336757,1.4074211,6.794768e-05,None,None,None,2.5382506e-05,0.07057092
3875000,-0.0067012357,1.407106,6.7625115e-05,None,None,None,5.39662e-06,0.058004595
3880000,-0.011559011,1.4066964,6.734864e-05,None,None,None,4.289666e-05,0.058088355
3885000,-0.008687099,1.4067773,6.707216e-05,None,None,None,1.5440637e-05,0.06802223
3890000,-0.005206175,1.4064566,6.6749606e-05,None,None,None,1.9621282e-05,0.06472525
3895000,-0.0022809657,1.4066525,6.642705e-05,None,None,None,3.672204e-06,0.065840006
3900000,-0.004891215,1.4070872,6.615057e-05,None,None,None,8.9923415e-06,0.0651224
3905000,-0.004398039,1.4071702,6.586987e-05,-0.15833333569268385,4961.0,-0.15833333569268385,4.107594e-06,0.07408013
3910000,-0.0031139064,1.4069682,6.554504e-05,None,None,None,8.709699e-06,0.06284448
3915000,-0.0072245253,1.4070898,6.5222484e-05,None,None,None,4.3936143e-05,0.06800831
3920000,-0.0063610366,1.4069955,6.4946e-05,None,None,None,5.9728454e-06,0.064550646
3925000,-0.006138695,1.4063808,6.4669526e-05,None,None,None,1.6757771e-05,0.06528899
3930000,-0.0035957403,1.4062687,6.4346954e-05,None,None,None,8.382591e-06,0.0658128
3935000,-0.0051823994,1.4061563,6.40244e-05,None,None,None,9.874425e-06,0.07019864
3940000,-0.0060578133,1.4058709,6.374792e-05,None,None,None,1.25259285e-05,0.06968276
3945000,-0.0042266394,1.4054083,6.3471445e-05,None,None,None,1.3237019e-05,0.06586484
3950000,-0.0049521066,1.40515,6.3148895e-05,None,None,None,1.2006251e-05,0.06762375
3955000,-0.006610168,1.4053941,6.282633e-05,None,None,None,2.8833758e-05,0.071664214
3960000,-0.0061229225,1.4051785,6.254984e-05,None,None,None,1.9484938e-05,0.06743035
3965000,-0.0054495838,1.4051108,6.2269144e-05,-0.13333333532015482,4961.0,-0.13333333532015482,2.5119873e-05,0.06458579
3970000,-0.004012806,1.404981,6.194432e-05,None,None,None,2.8306401e-06,0.06647538
3975000,-0.0037113375,1.4050683,6.162176e-05,None,None,None,1.4302445e-06,0.06838629
3980000,-0.004609573,1.4055212,6.134529e-05,None,None,None,1.2810624e-05,0.06369191
3985000,-0.0060793282,1.4055313,6.10688e-05,None,None,None,2.4558507e-05,0.06560024
3990000,-0.005926919,1.4055954,6.074623e-05,None,None,None,2.4505563e-05,0.06245669
3995000,-0.002858565,1.4055862,6.0423685e-05,None,None,None,3.949255e-06,0.071118936
4000000,-0.0063879252,1.4055327,6.014721e-05,None,None,None,3.7446753e-05,0.06792491
4005000,-0.006456081,1.4056664,5.9870727e-05,None,None,None,3.461764e-06,0.065360546
4010000,-0.009949847,1.4056034,5.9548165e-05,None,None,None,2.8348808e-05,0.062904045
4015000,-0.0052930317,1.405721,5.9225607e-05,None,None,None,1.7898496e-05,0.06914784
4020000,-0.012341967,1.405436,5.894912e-05,None,None,None,1.4885621e-05,0.067554936
4025000,-0.010459648,1.4054683,5.8668422e-05,-0.15833333569268385,4961.0,-0.15833333569268385,3.7951802e-05,0.07576479
4030000,-0.007236548,1.4054956,5.8343598e-05,None,None,None,9.730477e-06,0.06544188
4035000,-0.0064701806,1.4056342,5.8021044e-05,None,None,None,2.745056e-06,0.06508662
4040000,-0.013869488,1.4056549,5.774456e-05,None,None,None,1.97064e-05,0.06568085
4045000,-0.014348244,1.4055599,5.7468074e-05,None,None,None,3.2089087e-05,0.06918289
4050000,-0.013808155,1.4053036,5.7145517e-05,None,None,None,2.0137028e-05,0.072946765
4055000,-0.009816268,1.4053395,5.682297e-05,None,None,None,1.4154218e-05,0.0639997
4060000,-0.014997795,1.4056492,5.6546487e-05,None,None,None,3.6419406e-05,0.0680923
4065000,-0.009136702,1.4055892,5.6270004e-05,None,None,None,2.0315789e-05,0.064731956
4070000,-0.009529526,1.4056516,5.5947443e-05,None,None,None,3.649487e-05,0.062890366
4075000,-0.008932132,1.4056125,5.562488e-05,None,None,None,3.682522e-05,0.072414026
4080000,-0.012541692,1.4054499,5.53484e-05,None,None,None,7.8727235e-06,0.062183395
4085000,-0.010178678,1.4052272,5.50677e-05,-0.23333333681027094,4961.0,-0.23333333681027094,1.3251662e-05,0.060378015
4090000,-0.011937948,1.4052082,5.474288e-05,None,None,None,8.343708e-06,0.07317096
4095000,-0.016527403,1.4051442,5.442032e-05,None,None,None,2.7711238e-05,0.0729268
4100000,-0.014157289,1.4053196,5.4143835e-05,None,None,None,4.741821e-05,0.06362669
4105000,-0.011078438,1.4055791,5.386736e-05,None,None,None,3.4974848e-06,0.06790481
4110000,-0.010308395,1.4055085,5.354481e-05,None,None,None,8.451858e-06,0.06910479
4115000,-0.013542457,1.4056219,5.3222248e-05,None,None,None,3.2245945e-05,0.06650301
4120000,-0.011582015,1.4055561,5.2945765e-05,None,None,None,1.8968749e-05,0.07191336
4125000,-0.011702741,1.4057605,5.266928e-05,None,None,None,2.9226263e-05,0.058910444
4130000,-0.011090196,1.4059992,5.234672e-05,None,None,None,4.6124092e-05,0.06903446
4135000,-0.009320463,1.4061433,5.202416e-05,None,None,None,3.866681e-06,0.08483272
4140000,-0.0062304265,1.4063092,5.1747676e-05,None,None,None,2.2851553e-05,0.07194282
4145000,-0.008005562,1.406427,5.146698e-05,-0.19166666952272257,4961.0,-0.19166666952272257,5.6720555e-06,0.07556389
4150000,-0.006493906,1.4061798,5.114216e-05,None,None,None,2.0907506e-05,0.06591107
4155000,-0.01032397,1.4061328,5.0819595e-05,None,None,None,2.5998179e-05,0.07602659
4160000,-0.0075592683,1.4061419,5.0543124e-05,None,None,None,2.3109473e-05,0.08030307
4165000,-0.014851145,1.4061612,5.0266648e-05,None,None,None,8.183396e-06,0.067547336
4170000,-0.014215107,1.4063745,4.994409e-05,None,None,None,1.4394784e-05,0.0703123
4175000,-0.009413138,1.4065346,4.9621525e-05,None,None,None,3.9992286e-05,0.066026054
4180000,-0.00854317,1.4065969,4.934504e-05,None,None,None,1.6022863e-05,0.0717808
4185000,-0.010429065,1.406535,4.906856e-05,None,None,None,6.6654457e-06,0.071782686
4190000,-0.010571649,1.4063764,4.8746e-05,None,None,None,3.238467e-05,0.06795652
4195000,-0.013280207,1.4062407,4.8423437e-05,None,None,None,4.9685812e-05,0.06596248
