Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2630000,1.3486528,0.00014237626,-0.03479509,-0.06666666766007741,248.0,-0.07058823634596433
2635000,1.348653,0.00014205965,-0.034840524,-0.07916666784634192,248.0,-0.07916666784634192
2640000,1.3482857,0.00014174554,-0.034529865,-0.06250000093132257,248.0,-0.06315789567796808
2645000,1.3481072,0.00014147627,-0.033847943,-0.058333334202567734,248.0,-0.0588235302883036
2650000,1.3481072,0.00014115963,-0.03482611,-0.05000000074505806,248.0,-0.05000000074505806
2655000,1.3481072,0.00014084553,-0.034143966,-0.07500000111758709,248.0,-0.07368421201643191
2660000,1.3481072,0.00014057626,-0.034636896,-0.033333333830038704,248.0,-0.04705882423064288
2665000,1.3479673,0.00014025964,-0.03410136,-0.05000000074505806,248.0,-0.05000000074505806
2670000,1.3475624,0.00013994529,-0.03302989,-0.06666666766007741,248.5,-0.05789473770480407
2675000,1.3475626,0.00013967554,-0.032217555,-0.08333333457509677,248.0,-0.0882352954324554
2680000,1.3475626,0.0001393589,-0.03232179,-0.09166666803260644,248.0,-0.09166666803260644
2685000,1.3475624,0.00013904482,-0.032657735,-0.04583333401630322,248.0,-0.03157894783898404
2690000,1.3475626,0.00013877553,-0.032442223,-0.058333334202567734,248.0,-0.07058823634596433
2695000,1.3471612,0.00013845894,-0.032491118,-0.07083333438883226,248.0,-0.07083333438883226
2700000,1.3470322,0.0001381448,-0.032870214,-0.07500000111758709,248.0,-0.0789473695974601
2705000,1.3470322,0.00013787553,-0.032672532,-0.07500000111758709,248.0,-0.07058823634596433
2710000,1.3470323,0.0001375589,-0.03365608,-0.058333334202567734,248.0,-0.058333334202567734
2715000,1.3470322,0.0001372448,-0.03278913,-0.07083333438883226,248.0,-0.0789473695974601
2720000,1.3468357,0.00013697553,-0.032201506,-0.041666667287548385,248.0,-0.04117647120181252
2725000,1.3464535,0.00013665894,-0.032390337,-0.07083333438883226,248.0,-0.07083333469927311
2730000,1.3464534,0.00013634456,-0.03162678,-0.0541666674738129,248.5,-0.05263158012377588
2735000,1.3464534,0.00013607481,-0.031352464,-0.058333334202567734,248.0,-0.0588235302883036
2740000,1.3464535,0.00013575821,-0.031508338,-0.08333333457509677,248.0,-0.08333333457509677
2745000,1.3464534,0.00013544409,-0.031086093,-0.07500000111758709,248.0,-0.0789473695974601
2750000,1.3461381,0.00013517482,-0.030996168,-0.05000000074505806,248.0,-0.05294117725947324
2755000,1.3461381,0.00013485822,-0.03193959,-0.06666666766007741,248.0,-0.06666666766007741
2760000,1.3461381,0.0001345441,-0.032180507,-0.1291666685914,248.0,-0.14736842403286382
2765000,1.3461381,0.00013427483,-0.03137278,-0.06666666766007741,248.0,-0.06470588331713396
