Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss
10240000,-0.4802813,0.8539308,9.5292926e-05,None,None,None,0.0058553126,0.015447641
10250000,-0.5133057,0.76578367,9.50998e-05,-22.78044736967422,4981.0,-22.78044742097457,0.00490454,0.01219757
10260000,-0.25446302,0.8523095,9.489248e-05,None,None,None,0.016629701,0.013716755
10270000,-0.41220674,0.86846054,9.4692805e-05,None,None,None,None,None
10280000,-0.4092737,0.8698094,9.449968e-05,-20.154644760904677,4981.0,-20.15464475750923,0.006144749,0.011294419
10290000,-0.36510667,0.803168,9.429237e-05,None,None,None,0.0063849036,0.012051609
10300000,-0.48185724,0.84959006,9.4092684e-05,None,None,None,0.008238551,0.01937359
10310000,-0.40731055,0.8256898,9.3899565e-05,-22.096697792992927,4981.0,-22.096697653333347,0.0060542873,0.014568394
10320000,-0.39220503,0.8244317,9.3707604e-05,None,None,None,0.0068897577,0.017772026
10330000,-0.42063636,0.86325943,9.350793e-05,None,None,None,0.003379395,0.013642407
10340000,-0.35466903,0.81567025,9.329944e-05,-20.301536346960347,4981.0,-20.30153651535511,0.0068245525,0.017881664
10350000,-0.4955369,0.7892134,9.310748e-05,None,None,None,0.0047166045,0.015545856
10360000,-0.40672007,0.90449,9.290781e-05,None,None,None,0.003948348,0.011630539
10370000,-0.34862724,0.83544964,9.269932e-05,-22.22963493814071,4981.0,-22.229634802788496,None,None
10380000,-0.38760063,0.88391125,9.250736e-05,None,None,None,0.0053491793,0.01568313
10390000,-0.40586638,0.91381526,9.230768e-05,None,None,None,0.0033897357,0.009795788
10400000,-0.4585025,0.903788,9.20992e-05,-19.70995675229157,4981.0,-19.709956735372543,0.0036741204,0.022951802
10410000,-0.44514152,0.8312521,9.190724e-05,None,None,None,0.005016847,0.01540955
10420000,-0.47376817,0.8663203,9.170756e-05,None,None,None,0.0045699114,0.015856313
10430000,-0.3337187,0.8815171,9.149908e-05,-21.7500803086441,4981.0,-21.750080433984596,0.0051808315,0.015828604
10440000,-0.34722292,0.8378996,9.130712e-05,None,None,None,0.0047366517,0.008237277
10450000,-0.4083453,0.8317,9.1107446e-05,None,None,None,0.009817872,0.018380022
10460000,-0.30934346,0.8314119,9.089896e-05,-20.800008424499538,4981.0,-20.800008391340572,0.008824324,0.013180113
10470000,-0.4132507,0.81811357,9.0707e-05,None,None,None,None,None
10480000,-0.43441856,0.8299666,9.0507325e-05,None,None,None,0.0037734234,0.013191586
10490000,-0.43442285,0.782733,9.029885e-05,-20.923478744147967,4981.0,-20.92347874616583,0.011301148,0.008165167
10500000,-0.4063603,0.83670646,9.0106885e-05,None,None,None,0.011137858,0.017922943
10510000,-0.38916525,0.8874763,8.9907204e-05,None,None,None,0.0031274513,0.011330201
10520000,-0.41297817,0.90677,8.9698726e-05,-20.524137401138432,4981.0,-20.524137437343597,0.0059239226,0.017099151
10530000,-0.40906474,0.7785499,8.950677e-05,None,None,None,0.0037346664,0.01768256
10540000,-0.49733582,0.90364164,8.930708e-05,None,None,None,0.004380617,0.014009002
10550000,-0.4326388,0.8430165,8.9098605e-05,-20.639006842005376,4981.0,-20.639006912708282,0.008900849,0.015188633
10560000,-0.35543135,0.86672854,8.8906636e-05,None,None,None,0.0044678194,0.011568887
10570000,-0.43519837,0.948578,8.870698e-05,None,None,None,0.0037920156,0.011458619
10580000,-0.42435342,0.9078772,8.8498484e-05,-20.371766803320497,4981.0,-20.371766878291965,None,None
10590000,-0.40137875,0.7562457,8.830652e-05,None,None,None,0.0036781458,0.013996053
10600000,-0.49042267,0.8440717,8.810684e-05,None,None,None,0.0035621927,0.013771516
10610000,-0.4029698,0.8412075,8.789836e-05,-20.950583106605336,4981.0,-20.950583043197792,0.0069903894,0.01704522
10620000,-0.41065207,0.8053868,8.77064e-05,None,None,None,0.0033653846,0.013204655
10630000,-0.5135052,0.8510361,8.750672e-05,None,None,None,0.002806665,0.01650561
10640000,-0.42581964,0.80809885,8.7298235e-05,-22.48191471568619,4981.0,-22.481914674242336,0.0052844677,0.019417405
10650000,-0.38638562,0.851847,8.710629e-05,None,None,None,0.004004551,0.013985548
